symbol,name,sector,industry,market_cap,ipo_year,shares_out,country
A,Agilent Technologies Inc. Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments,44076757034.0,1999.0,281928853.9976973,United States
AA,Alcoa Corporation Common Stock,Industrials,Aluminum,12395826632.0,2016.0,263909445.0074516,United States
AADX,Applied Aerospace & Defense Inc. Common Stock,Industrials,Military/Government/Technical,2189397679.0,2026.0,172393518.03149608,
AAL,American Airlines Group Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services,8565891166.0,,661969951.0046368,United States
AAME,Atlantic American Corporation Common Stock,Finance,Life Insurance,28556119.0,,20397227.85714286,United States
AAMI,Acadian Asset Management Inc. Common Stock,Finance,Investment Managers,3213276189.0,2014.0,35490127.998674616,United Kingdom
AAOI,Applied Optoelectronics Inc. Common Stock,Technology,Semiconductors,8325910699.0,2013.0,84906288.99653274,United States
AAON,AAON Inc. Common Stock,Industrials,Industrial Machinery/Components,6301931629.0,,82453639.00300929,United States
AAP,Advance Auto Parts Inc.,Consumer Discretionary,Auto & Home Supply Stores,2535592000.0,,60400000.00000001,United States
AAPG,Ascentage Pharma Group International American Depository Shares,Health Care,Biotechnology: Pharmaceutical Preparations,1434490523.0,2025.0,93330548.01561484,China
AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing,4918238660000.0,1980.0,14594180000.0,United States
AARD,Aardvark Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,121023198.0,2025.0,21884845.931283902,United States
AAT,American Assets Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts,1358875234.0,2011.0,61404213.014008135,United States
AAUC,Allied Gold Corporation Common Shares,,,3000160136.0,2025.0,139347892.98653042,
ABAT,American Battery Technology Company Common Stock,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),319374178.0,,142577758.03571427,United States
ABBV,AbbVie Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,466554305586.0,2012.0,1767117285.0011363,United States
ABCB,Ameris Bancorp Common Stock,Finance,Major Banks,5569900837.0,1994.0,67107239.0,United States
ABCL,AbCellera Biologics Inc. Common Shares,Health Care,Biotechnology: Pharmaceutical Preparations,4123317384.0,2020.0,323905528.9866457,Canada
ABEO,Abeona Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,319658655.0,,57184016.99463327,United States
