symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,ret_pct,hold_days,reason,score
TRIP,2025-09-19,2025-09-24,19.539520458221432,18.00614718062424,511,-783.5537448521653,-0.07847548156955975,3,stop,0.4677913685306929
RMBS,2025-09-19,2025-09-25,107.55744694519042,96.39350786590576,92,-1027.0823952941887,-0.10379512898789456,4,stop,0.773410381608963
STRL,2025-09-19,2025-09-25,352.68231655883784,325.9137502441406,28,-749.5198568115227,-0.07589993900426095,4,stop,0.5563690881475243
TPC,2025-09-19,2025-10-02,66.29604328009468,61.97179198517963,150,-648.6376942372576,-0.06522638578362039,9,stop,0.577417798807115
AIR,2025-09-26,2025-10-09,83.48340152740478,81.33438135104103,97,-208.45495710728363,-0.025741885656854757,9,stop,0.2053076910925209
CGNX,2025-09-19,2025-10-10,45.86907009669524,43.65391696332101,218,-482.9033830755821,-0.048292959257829504,15,stop,0.5440038070943838
PTGX,2025-10-13,2025-10-13,85.36527877807616,76.85110111956689,111,-945.0737200945288,-0.09973818138219348,0,stop,0.5752308658534033
AVAV,2025-09-19,2025-10-17,283.8735863342285,359.85883650385506,35,2659.48375593693,0.26767284392624924,20,stop,0.49142287249524497
CLSK,2025-09-19,2025-10-17,13.34332992362976,18.54527164799923,749,3896.2543515527323,0.3898533390197696,20,stop,0.46623089223189695
BTU,2025-09-25,2025-10-21,25.4457699173745,29.29300877867749,388,1492.7286781855603,0.15119365119607076,18,stop,1.0105580907921903
CLF,2025-10-10,2025-10-21,14.184170076370238,13.581923501278265,564,-339.6670683518729,-0.04245906329727889,7,stop,0.4387031381876032
LEU,2025-09-19,2025-10-22,260.26,335.0216635437294,38,2840.943214661718,0.2872576021813933,23,stop,0.45142564186453016
MTRN,2025-09-19,2025-10-29,122.37453007431746,121.63291864304048,81,-60.07052593343532,-0.006060177970257374,28,stop,0.5849151133496004
GILD,2025-10-20,2025-10-31,119.75306240163212,113.14764961154559,91,-601.0925638978745,-0.055158612711991184,9,stop,0.14206550517500638
BKH,2025-10-20,2025-10-31,61.01451839200682,60.754238809170445,179,-46.59004532771118,-0.004265863104320977,9,stop,0.10726968102429923
LUMN,2025-10-30,2025-10-31,10.550539961814879,8.691299809455872,1065,-1980.0907622623424,-0.1762222747923875,1,stop,1.4719102183099904
INTC,2025-09-26,2025-11-13,35.055020458221435,35.47905328009764,281,119.15322294721307,0.012096208084704019,34,stop,0.5106667412651911
BTSG,2025-10-22,2025-11-14,32.3322992362976,31.268699237823487,345,-366.94199947356935,-0.032895897402807406,17,signal,0.5140845612748755
VIAV,2025-11-03,2025-11-14,17.6676496181488,16.411347559402166,622,-781.4198805404063,-0.07110748095525499,9,stop,0.7682318040183129
TTMI,2025-11-03,2025-11-14,67.45738938903808,60.349589847564694,154,-1094.6011293869021,-0.10536724895298744,9,stop,0.4989960785968859
CALY,2025-11-17,2025-11-18,11.201189579963684,10.186923712665713,784,-795.1844399616087,-0.09054983491327162,1,stop,0.14882772433194447
WDC,2025-11-03,2025-11-20,151.93862321579212,145.85820339616626,72,-437.7902270130619,-0.04001892139689911,13,stop,0.9457220161757509
LGND,2025-09-19,2025-12-02,170.43025450134274,196.77303121948242,58,1527.8810496521012,0.15456631685034616,51,signal,0.48142012155654035
JAZZ,2025-11-19,2025-12-02,180.58039389038083,166.75164568337237,44,-608.4649211083722,-0.0765794553278194,8,stop,0.5160830161680756
ORI,2025-11-17,2025-12-03,40.78021847105075,40.13808818816801,264,-169.52239468104318,-0.015746121697179705,11,stop,0.1741648452218829
REGN,2025-11-21,2025-12-08,733.9064520581878,720.1798499984975,14,-192.1724288356645,-0.018703476473323044,10,signal,0.25182198175666226
INTC,2025-12-03,2025-12-10,43.43338938903808,39.45848618951452,181,-719.4574791137657,-0.09151722339511392,5,stop,0.8112500508626301
RCUS,2025-10-14,2025-12-12,16.326309465408322,21.128849618911744,525,2521.3335805892966,0.2941595688651435,42,stop,0.8427463877868007
AMKR,2025-12-11,2025-12-16,46.140715779323465,42.182231961502396,157,-621.4819593979078,-0.08579155635021474,3,stop,0.8497642065755782
COKE,2025-11-14,2025-12-29,160.32877782033913,156.50500534515513,67,-256.19275583732804,-0.023849570408806087,29,stop,0.4311075245755187
IQV,2025-10-03,2025-12-30,205.1549469451904,225.8838906097412,45,932.8024649047859,0.1010404280920838,60,time,0.24415483136595229
ARWR,2025-12-04,2026-01-06,64.46440152740477,71.99293743896484,164,1234.6798894958515,0.11678594283326404,21,signal,1.3241070338657925
ROIV,2025-12-15,2026-01-06,22.22220076370239,21.44852931404114,500,-386.83572483062534,-0.03481524885352316,14,signal,0.5842294396872769
WBD,2025-10-22,2026-01-20,20.700680305480955,28.451519542694093,538,4169.951509620669,0.3744243726695753,60,time,0.5274229363466478
VICR,2025-10-23,2026-01-21,84.44436061096191,159.1207187805176,128,9558.573845703128,0.884326172041165,60,time,0.818875914333957
AA,2026-01-06,2026-01-23,61.47284069608222,57.99123543711085,192,-668.4682097225032,-0.05663647912716774,12,stop,0.7856696921512591
VSXY,2025-12-02,2026-01-26,44.0940492362976,57.66440815051567,253,3433.3008052971713,0.3077594176369527,36,stop,0.969642843001959
KALU,2025-12-17,2026-01-27,110.25337078717696,119.32407750716538,60,544.2424031993053,0.08227146848414901,26,stop,0.46620819219284604
UPWK,2026-01-26,2026-01-29,22.22220076370239,20.24897598120044,601,-1185.9080942836706,-0.08879520095619875,3,stop,0.3810118859627125
ALB,2025-11-14,2026-01-30,107.77318180359063,165.84580552550335,93,5400.754006137883,0.5388411360791607,51,stop,0.4015284125788843
ARR,2026-01-05,2026-01-30,16.009083837791252,16.112270554454426,559,57.68137461471434,0.006445510418253253,18,stop,0.21827144888423833
AMKR,2026-01-06,2026-02-03,49.17890586315513,45.30198282168753,218,-845.1692230399366,-0.07883304789772061,19,stop,0.6415816323195283
KRYS,2025-12-08,2026-02-04,237.58735610961912,259.1706452478503,42,906.4981438057096,0.09084359324354363,39,stop,0.6124656322566604
MU,2026-01-05,2026-02-04,325.26845653902666,376.7766757314912,36,1854.2958909287233,0.15835602302335272,21,stop,0.718340509474261
MKSI,2026-01-30,2026-02-04,238.55614660589998,220.2336499214591,58,-1062.7048076975718,-0.07680580418961103,3,stop,0.7387044355479078
GKOS,2026-01-20,2026-02-05,118.68856969451903,114.78510152435302,108,-421.5745623779288,-0.03288832429451938,12,signal,0.40911748838155804
SNDK,2026-01-21,2026-02-10,463.5130377807617,549.4233099732047,28,2405.4876213884045,0.18534596697380912,14,stop,2.2328765930225445
STX,2026-01-27,2026-03-02,361.09379407714954,375.3723800962947,36,514.029096689226,0.03954259600511012,23,stop,0.586634805681248
ALGT,2026-02-05,2026-03-02,102.38227877807616,96.88302335357666,129,-709.4039497604349,-0.053712961756005484,16,stop,0.6124656889757158
