symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,ret_pct,hold_days,reason,score
VICI,2025-09-19,2025-09-24,30.045617995551922,29.752200330858475,332,-97.41466467822433,-0.009765739041775912,3,signal,-0.9254849004237542
O,2025-09-19,2025-09-24,56.06777050327272,56.52412050033695,178,81.2302994774329,0.008139257062800276,3,signal,-5.018960088462251
HUM,2025-09-19,2025-09-25,260.1991613863236,258.0149850758567,38,-82.99869979774257,-0.008394248078394173,4,signal,-2.423536304084351
NUE,2025-09-19,2025-09-25,132.94308385932197,133.88011641832912,75,70.27744192553627,0.007048373874031011,4,signal,-4.827890978925211
EFC,2025-09-19,2025-09-26,11.7842061917721,11.645273602138777,848,-117.81483600905725,-0.01178972833404146,5,signal,-0.5524506578777562
PZZA,2025-09-19,2025-09-26,44.62078403020574,44.82017083688631,224,44.66264469644807,0.004468473851683141,5,signal,-2.7147262674399286
ORLY,2025-09-19,2025-09-26,104.16405755615233,104.93496091461182,96,74.00672241211123,0.007400857613903078,5,signal,-5.346023741143497
NTST,2025-09-25,2025-09-26,16.856203603085273,17.195083688854922,586,198.58373026101418,0.02010417610924109,1,signal,-0.7041853104997244
HD,2025-09-26,2025-09-29,397.3166771509123,398.35890891200114,24,25.013562266131885,0.002623176476161282,1,signal,-0.671321493754661
LYV,2025-09-19,2025-09-30,164.81464389038084,165.10473426818848,60,17.40542266845864,0.0017601007468766028,7,signal,-2.3265927182536217
BR,2025-09-19,2025-09-30,238.54205654208712,230.72081165420025,41,-320.671040403362,-0.03278769790645675,7,signal,-4.166653351201504
LQDA,2025-09-24,2025-09-30,22.502479541778563,22.847130838394165,440,151.64657051086493,0.015316147537239866,4,signal,-0.9700948738071702
NVST,2025-09-26,2025-10-01,20.019999999999996,20.279699237823486,494,128.2914234848041,0.01297198990127324,3,signal,-0.3943702873431221
JBGS,2025-09-30,2025-10-01,20.67272589799282,21.14625468038718,477,225.8732292021101,0.022905967250324677,1,signal,-0.4491627614528966
NKE,2025-09-19,2025-10-02,69.78119211006295,72.53343481901393,143,393.57070737999123,0.03944103884912131,9,signal,-2.9832979629477876
AVGO,2025-09-30,2025-10-02,328.608543102758,345.32711659368255,30,501.55720472773623,0.050876868060294234,2,signal,-0.7579974655386934
GWRE,2025-09-25,2025-10-03,235.76552877807615,231.41834390258788,41,-178.23457989501895,-0.018438594047309742,6,signal,-0.32584944605707733
SSD,2025-09-29,2025-10-03,170.9518664463083,168.68976702157525,57,-128.93966720978312,-0.013232376292560133,4,signal,-0.6650058806254009
SXT,2025-09-30,2025-10-06,91.68782923344705,92.98988017347091,107,139.31945058255312,0.01420091358809139,4,signal,-0.4585981762571407
ALLY,2025-10-01,2025-10-06,37.8250384783343,38.73981084203314,261,238.75558692539656,0.024184307551274653,3,signal,-0.37454840996508665
WAL,2025-10-03,2025-10-06,84.57866641415642,85.70151092160431,117,131.3728073714036,0.013275741449382261,1,signal,-0.4782971268402463
ANIP,2025-10-01,2025-10-07,91.65155755615234,92.25764847564697,108,65.4578193054204,0.006612990937151286,4,signal,-0.7285830326909064
LOW,2025-09-24,2025-10-08,253.34370488619783,234.35609192351436,39,-740.5169055446554,-0.07494803540199557,10,time,-0.7825627236964721
NFLX,2025-10-06,2025-10-08,116.15303956604002,119.5912875366211,85,292.2510774993913,0.029601015896155047,2,signal,-0.7679304697537361
WWW,2025-09-26,2025-10-09,27.238878996163635,25.24250196319243,363,-724.6848629685468,-0.0732914534864807,9,signal,-0.594136527928228
CALX,2025-10-06,2025-10-09,60.42036061096191,59.240699237823485,164,-193.46446519470132,-0.01952423589018437,3,signal,-0.5847783020232384
IBP,2025-10-06,2025-10-09,242.021061524346,236.46050394757268,41,-227.9828606477067,-0.022975511063998755,3,signal,-1.1927645785621905
ALGM,2025-10-08,2025-10-09,27.54752045822143,28.32664454269409,353,275.0308018188488,0.028282911547494072,1,signal,-0.16800134842070236
VVV,2025-09-26,2025-10-10,36.846811374664306,34.08587893295288,268,-739.929894378662,-0.0749300234866409,10,time,-0.6246880836101383
AEO,2025-10-07,2025-10-14,15.461345481988952,14.754905423470131,638,-450.7087573350076,-0.0456907233165289,5,signal,-0.19670384043755007
STC,2025-10-08,2025-10-14,66.58677911693812,65.46650762476914,146,-163.55963785667134,-0.016824233083891693,4,signal,-0.1579782812456898
ENVA,2025-10-02,2025-10-15,112.29218030548094,111.22865634155274,88,-93.59010882568202,-0.00947104207109506,9,signal,-0.445946424844891
LOW,2025-10-09,2025-10-15,233.04991922081462,236.41174928349335,42,141.19686263250685,0.014425364633975368,4,signal,-0.13238945196769691
ESNT,2025-10-09,2025-10-15,58.51183394035529,59.6321500201189,168,188.21310140028675,0.01914682901420628,4,signal,-0.21966601022565158
HD,2025-10-09,2025-10-15,372.72771844964274,378.1325287442293,26,140.52506765925114,0.0145006932059355,4,signal,-0.26937150235420404
RDN,2025-10-10,2025-10-15,33.06439688063134,32.84314386741724,293,-64.82713287173206,-0.006691578679413612,3,signal,-0.14496718886105953
PHIN,2025-10-14,2025-10-15,50.21368165412018,52.31225743067359,190,398.72939754514795,0.04179290797692814,1,signal,-0.3583521988256848
LPG,2025-10-02,2025-10-16,26.43549875850144,24.54498895721612,373,-705.1601558794239,-0.07151405837112668,10,signal,-0.6349912817998415
BDC,2025-10-03,2025-10-16,118.24792729733981,114.12215362109103,84,-346.56498880489784,-0.034890875219100725,9,signal,-0.43422414058871084
NHI,2025-10-14,2025-10-16,70.16725518949043,70.92410533396263,136,102.93161964821866,0.010786372395902966,2,signal,-0.28137201496339515
MMS,2025-10-15,2025-10-20,83.54756908250653,83.83124781031657,116,32.90673242596483,0.0033954157006039765,3,signal,-0.2634794484190195
PFE,2025-10-15,2025-10-20,22.90790624800867,22.93682033623372,423,12.230659319196448,0.00126218816822532,3,signal,-1.5598945345962818
HUM,2025-10-15,2025-10-20,258.0476385865292,272.4048878306033,37,531.2182220307405,0.055637979571201424,3,signal,-3.364604219371131
ABBV,2025-10-16,2025-10-20,221.21595792341412,225.43887887252762,43,181.58560081188054,0.019089585528795805,2,signal,-2.7517429604388326
AM,2025-10-15,2025-10-21,17.336247934451993,17.502123623204742,559,92.7245100127866,0.009568142390436574,4,signal,-2.6896125158891664
CPK,2025-10-16,2025-10-21,129.5124418721528,131.92080648040528,75,180.6273456189352,0.018595623504882086,3,signal,-1.9020595463441907
COIN,2025-10-16,2025-10-21,338.82848022460934,341.93771878051757,28,87.05867956543057,0.00917643804277346,3,signal,-2.896546409593995
PSN,2025-10-20,2025-10-21,83.78369694519041,84.96495304870605,115,135.84445190429818,0.014098877783924824,1,signal,-3.059870891804195
KTOS,2025-10-20,2025-10-22,87.36727877807616,89.91,110,279.69933441162254,0.029103816182517006,2,signal,-1.7541635191029172
MSA,2025-10-20,2025-10-22,164.04338281026048,166.33169872379955,59,135.01063889880487,0.013949455774060926,2,signal,-2.7328620550236877
WRBY,2025-10-09,2025-10-23,24.50447954177856,21.638339847564698,401,-1149.3220173797592,-0.11696390814288793,10,signal,-0.17313792945647322
LIF,2025-10-15,2025-10-23,101.1910863342285,91.52838274383545,95,-917.9568410873399,-0.09548967147637566,6,signal,-3.779249376379667
AFG,2025-10-21,2025-10-23,125.06239628673728,127.446994561094,77,183.6140671254674,0.01906726838089212,2,signal,-6.758902550153607
APP,2025-10-21,2025-10-24,568.2576924438476,606.9574374389648,17,657.8956649169917,0.06810245687776817,3,signal,-7.66008205887438
P,2025-10-23,2025-10-24,89.68959847259521,95.16474213409424,108,591.3155154418955,0.06104546965021784,1,signal,-1.4647828673927847
LSCC,2025-10-23,2025-10-24,67.21715152740478,70.25967182922363,144,438.122923461915,0.045264046938650715,1,signal,-2.038259299753875
GEV,2025-10-23,2025-10-24,579.5061196327985,605.271368972597,16,412.24398943677625,0.04446070277243064,1,signal,-2.1533089435764055
TLN,2025-10-22,2025-10-27,380.3199424438476,415.0845,25,869.1139389038099,0.09140871586371047,3,signal,-2.932643929729835
VST,2025-10-22,2025-10-27,186.95895096862674,202.61253721951567,52,813.9864850462246,0.08372739668140161,3,signal,-3.8901929942097695
BLK,2025-10-24,2025-10-27,1118.5080985396871,1121.2814352070432,8,22.186693338848272,0.002479496278101845,1,signal,-3.6064786918583707
ULTA,2025-10-20,2025-10-28,540.1696348876952,520.5189380493164,17,-334.06184625244043,-0.036378751357366346,6,signal,-1.523143358589337
NEU,2025-10-21,2025-10-28,738.5387795695943,741.1720466626513,13,34.23247220974008,0.0035655095790523283,5,signal,-1.5598184690143313
UTHR,2025-10-15,2025-10-29,433.85343344116205,414.9546251220703,22,-415.77378302001864,-0.043560352096775,10,time,-3.103959807923289
RNR,2025-10-21,2025-10-30,248.23091140612706,248.74984558844568,39,20.238433110426058,0.002090530060817386,7,signal,-4.175939394089966
WMB,2025-10-24,2025-10-31,57.653484808460725,55.70598592303297,172,-334.9698082935739,-0.033779378504141255,5,signal,-2.6775187315548834
NSC,2025-10-27,2025-10-31,277.34356608617855,275.27756769043657,36,-74.37594224671147,-0.007449238592035723,4,signal,-2.0691752820609253
FHI,2025-10-27,2025-11-03,47.46866258140138,47.188959611835514,211,-59.017326578398134,-0.005892370973928807,5,signal,-1.0078281312592878
AN,2025-10-28,2025-11-03,192.45225450134276,198.4313748779297,52,310.9142595825206,0.031068071361799676,4,signal,-1.8550527608525726
CASY,2025-10-24,2025-11-05,534.4947728937703,521.8749878956178,18,-227.15612996674622,-0.023610679913348198,8,signal,-2.391151764022652
HSY,2025-10-24,2025-11-06,177.72353852734662,163.5494124828723,55,-779.5769324460877,-0.07975379154570073,9,signal,-2.353002657639834
ORLY,2025-10-27,2025-11-06,96.90680755615233,94.45545304870605,103,-252.4895142669671,-0.025295999004258274,8,signal,-2.3073542129195346
WTRG,2025-10-30,2025-11-06,37.69832074903536,38.14326786384065,265,117.9109854234013,0.011802836464981592,5,signal,-0.4630520958985471
SIG,2025-10-31,2025-11-06,97.77220361684198,98.98439620158403,102,123.64364364368967,0.012398130960538545,4,signal,-0.34976456388137933
RMD,2025-10-31,2025-11-07,252.0973509481019,245.81071600800803,39,-245.17876266366116,-0.024937330425927717,5,signal,-0.3355569324376404
UNFI,2025-11-03,2025-11-07,37.46743030548095,37.3026601524353,265,-43.664090557097666,-0.004397690252633812,4,signal,-0.21771461324385655
USLM,2025-11-03,2025-11-07,116.1275896047771,113.92176673313735,85,-187.49494408937906,-0.018994821808899554,4,signal,-0.24016709991583696
RGLD,2025-10-28,2025-11-10,174.67642971626017,178.90375688146497,57,240.9576484166735,0.024200902045407924,9,signal,-0.9845072537642778
DTE,2025-11-05,2025-11-10,130.87291343344458,133.75928592417614,74,213.59156431413544,0.02205477371144049,3,signal,-0.1909053518056396
RSI,2025-11-06,2025-11-10,16.67665984725952,17.472509771347045,595,473.5307048320785,0.04772238154262709,2,signal,-0.5765612161716689
URI,2025-10-29,2025-11-11,875.9688513948284,844.7689149704082,11,-343.1993006686225,-0.03561763226482284,9,signal,-1.0596286372082773
IQV,2025-11-06,2025-11-11,210.20999999999998,214.19559365844728,47,187.3229019470231,0.018960057363813787,3,signal,-0.7321500976647712
MSFT,2025-11-07,2025-11-11,493.3875551935621,500.1798775574761,20,135.8464472782805,0.013766707920408239,2,signal,-0.7816028716801071
GWRE,2025-11-06,2025-11-12,219.51930305480954,220.3094687805176,45,35.557457656862255,0.0035995273067661593,4,signal,-0.35387250334574105
EL,2025-11-07,2025-11-12,85.89514042637921,90.12641687239608,115,486.5967912919393,0.049260952657077084,3,signal,-0.2985535775102477
DHR,2025-11-10,2025-11-12,207.91436457496604,214.21458858459815,48,302.41075246234095,0.030302014112932874,2,signal,-1.4683256391797244
REZI,2025-11-06,2025-11-13,21.594294202804562,21.95436300086975,459,165.2715783119218,0.016674256388450326,5,signal,-0.7433387227442694
HE,2025-11-11,2025-11-13,11.281270458221435,11.548440419197082,896,239.38428503417936,0.023682612872820696,2,signal,-1.39599640285293
HXL,2025-11-11,2025-11-13,67.63517480923606,68.28469559378135,149,96.77859689724794,0.009603298673763305,2,signal,-2.676353937383425
PI,2025-11-12,2025-11-20,157.56741366577145,155.15468756103516,64,-154.4144707031228,-0.015312341864378909,6,signal,-2.8578584222930346
ANET,2025-11-07,2025-11-21,134.54441366577146,118.30157817077637,73,-1185.7269911346416,-0.12072471128637663,10,time,-0.7217496284239218
ARLO,2025-11-10,2025-11-24,15.155140343666075,13.366620114326476,660,-1180.4233513641348,-0.11801409876663338,10,signal,-0.5397270443123858
DELL,2025-11-10,2025-11-24,148.53107228748325,123.54509481075863,67,-1674.0604909405502,-0.16822054195073766,10,signal,-0.9974984729702072
TT,2025-11-12,2025-11-24,420.58297088306574,407.3625499532679,24,-317.2901023151485,-0.03143356209130377,8,signal,-2.204450672010111
OSW,2025-11-12,2025-11-24,21.469106206067572,20.18937794611879,471,-602.7520104358767,-0.05960789646599762,8,signal,-2.2563484915786773
