min_ret,max_hold_days,trail_atr_mult,2024_n_trades,2024_win_rate,2024_total_return,2024_max_drawdown,2024_profit_factor,2024_expectancy,2024_sharpe,2025_n_trades,2025_win_rate,2025_total_return,2025_max_drawdown,2025_profit_factor,2025_expectancy,2025_sharpe,2026_n_trades,2026_win_rate,2026_total_return,2026_max_drawdown,2026_profit_factor,2026_expectancy,2026_sharpe,full_n_trades,full_win_rate,full_total_return,full_max_drawdown,full_profit_factor,full_expectancy,full_sharpe
0.03,20,3.0,81,0.37037037037037035,-0.10414118928273974,-0.1859450594785259,0.7136610526411595,-0.012993943642709187,-0.7328706211317325,103,0.2815533980582524,-0.23328518140149712,-0.2888840271139551,0.49338828669689594,-0.024007334899102416,-1.6540982196119205,86,0.29069767441860467,-0.24192663249421364,-0.27639712054836163,0.41300208811626266,-0.03233203893146443,-2.122162484991219,270,0.32222222222222224,-0.45715821974637016,-0.4997445532780236,0.5696774153374692,-0.021682969009093927,-1.33545591044293
0.03,20,5.0,80,0.375,-0.08916406183311187,-0.17272359540598725,0.7572481059697447,-0.010988929338424252,-0.6016969266892865,101,0.2871287128712871,-0.22001643830649176,-0.27939475446201945,0.5143182457366301,-0.02259838046421873,-1.542423340425735,82,0.3170731707317073,-0.21756676258631025,-0.26107853076499077,0.4683379912051934,-0.02976423579738487,-1.9173152018505837,263,0.33460076045627374,-0.4183865315435428,-0.4639974046449096,0.610036585155387,-0.019422846144291607,-1.1809579037137379
0.03,40,3.0,65,0.3384615384615385,-0.08384764884429274,-0.18043395523619077,0.736664750379572,-0.014127217479152458,-0.5647034066657284,89,0.29213483146067415,-0.18409219140083355,-0.29138010853061,0.5827647243006587,-0.021242714199681836,-1.0771415294662599,68,0.3235294117647059,-0.07509769970863533,-0.13051600889640735,0.7800249237170723,-0.010535253199463423,-0.467482060720381,226,0.3230088495575221,-0.3112643418890537,-0.3952517861876239,0.6926512836731289,-0.01606605109589378,-0.6975434331990794
0.03,40,5.0,60,0.35,-0.06384463313544231,-0.1603040557917217,0.7835587771057313,-0.012459471398679848,-0.36910494948735634,83,0.30120481927710846,-0.13677172700776896,-0.24217329785781194,0.691916767747813,-0.015063356816118301,-0.7176121983515668,60,0.4166666666666667,0.03999769099869144,-0.13368448845097958,1.1257252930558137,0.008820796320724182,0.35238514035124247,206,0.34951456310679613,-0.20752932994654072,-0.33927726198755725,0.7916414649775235,-0.010474872823294262,-0.3734481444656961
0.03,60,3.0,62,0.3387096774193548,-0.07925955761719439,-0.18971703722449773,0.7374199901723772,-0.01321265627620141,-0.49343933799883066,82,0.2682926829268293,-0.20350284637731408,-0.2929152521206465,0.5251276926391055,-0.02574015517507652,-1.2203127603338713,62,0.2903225806451613,-0.07274804036773319,-0.13279954260534543,0.762243600306579,-0.011044914472871793,-0.46241334776071596,205,0.2975609756097561,-0.2849200208730873,-0.40140453188893055,0.6913058947432522,-0.015486009966606859,-0.6140403231931354
0.03,60,5.0,57,0.2631578947368421,-0.12408160936367907,-0.1930013798957908,0.5884218911115727,-0.0252264162797869,-0.7530322494068125,71,0.2676056338028169,-0.15143336994248824,-0.2570715194231652,0.6299429690489573,-0.019571492345501058,-0.7632880433525205,50,0.26,-0.068317494885897,-0.19103213447977507,0.7832011873096277,-0.014368899492950086,-0.3652005870266958,177,0.23728813559322035,-0.3195169085650993,-0.4091847280328381,0.649223823109863,-0.021131645058731052,-0.6285057591450756
0.05,20,3.0,75,0.4,-0.04996000223539232,-0.17486603901706133,0.8499448084840681,-0.005447526924116503,-0.3152546056465776,93,0.3010752688172043,-0.21832831840267242,-0.2684134301182777,0.48266884460176074,-0.024862912532827543,-1.669036750031468,80,0.3125,-0.2231586654981207,-0.2595689177980497,0.4251341897160307,-0.0311006284941918,-2.071992224568939,248,0.3467741935483871,-0.3958683578216172,-0.43490089356063066,0.6137010327335208,-0.019173808892829648,-1.161801636173873
0.05,20,5.0,74,0.40540540540540543,-0.04156992438631324,-0.1611799551517369,0.877391972267018,-0.004362310509820113,-0.24426402290471888,92,0.30434782608695654,-0.2027464466200728,-0.25539098582459496,0.5159572625054036,-0.02259950031294506,-1.5269878918642446,77,0.3246753246753247,-0.20314143206223412,-0.24044844223353223,0.4592171900153767,-0.029149399266123057,-1.8641934304663448,243,0.35390946502057613,-0.36235957916920203,-0.4035213778304896,0.6480703185082983,-0.01725394111536551,-1.0270972797507079
0.05,40,3.0,63,0.3492063492063492,-0.09159308983241743,-0.19475475840090606,0.7020504793828075,-0.01566924389010234,-0.6114566258228632,83,0.30120481927710846,-0.16028778579082847,-0.2595338088186393,0.6003080745612043,-0.020158427515945,-1.0044710555004033,65,0.3384615384615385,-0.06793817089596876,-0.14129385076448642,0.7846337080805001,-0.009392175433784747,-0.3927252540692779,215,0.3302325581395349,-0.3012643730684541,-0.3636950973622537,0.686511897325311,-0.016155683166352294,-0.6987675505386715
0.05,40,5.0,58,0.3448275862068966,-0.06788087104455709,-0.1702433878865901,0.7602768604146389,-0.014650397705681373,-0.390368680454061,77,0.3246753246753247,-0.08873412763393917,-0.20262544904527324,0.7802383847282707,-0.010356067979294737,-0.4757900896088019,58,0.3620689655172414,-0.04983425160248711,-0.14693370304816245,0.833912374522425,-0.009931856879456623,-0.2339552025715593,195,0.3487179487179487,-0.16948339802949097,-0.2953356803539262,0.8194786877519608,-0.009675622101825855,-0.29606700855893386
0.05,60,3.0,61,0.32786885245901637,-0.1248473827781359,-0.22571358765006366,0.5763876914414153,-0.0213716517799723,-0.8432319262855738,77,0.2987012987012987,-0.13100992154566837,-0.24825640581878727,0.6489725035746859,-0.01822604570334113,-0.7674819415913001,60,0.2833333333333333,-0.07694189456139133,-0.143115034659811,0.7459157607686491,-0.010930416965756497,-0.5142713587923046,197,0.30456852791878175,-0.24857265860585087,-0.380068162870731,0.7109171748323534,-0.01365357172621999,-0.5308969061322933
0.05,60,5.0,55,0.2909090909090909,-0.12259763116087086,-0.19400639922366436,0.5671543498083681,-0.023627471254252252,-0.7412248154358783,65,0.2923076923076923,-0.058339223966853426,-0.21442917119710725,0.8390038153097252,-0.006276686945972693,-0.2454536057110737,54,0.2037037037037037,-0.13969266636378752,-0.23800080680255908,0.6021482361438104,-0.029559287775880728,-0.8875882385446712,171,0.2573099415204678,-0.227031442102145,-0.3553595935376008,0.7455373841556053,-0.014848464768293216,-0.41265751978709825
0.1,20,3.0,70,0.37142857142857144,-0.13518181270216645,-0.186673747436515,0.5810255044243784,-0.020059380634417423,-1.0634962857712082,67,0.34328358208955223,-0.13133413550095863,-0.21144955668297183,0.58141515600468,-0.021127623900127387,-1.0804552719249865,63,0.31746031746031744,-0.1744245053044149,-0.19470779746223454,0.45735948399521714,-0.030915800591377503,-1.83054161136604,200,0.345,-0.3753760025524291,-0.3882447919540586,0.5516079126029391,-0.023478274581563083,-1.2284957386715996
0.1,20,5.0,68,0.39705882352941174,-0.12000242571752973,-0.1711688183456186,0.6241097695065715,-0.01795893088060771,-0.9223297501493334,66,0.3333333333333333,-0.12372592415462069,-0.20936350874037502,0.6048837525461751,-0.01965272638957373,-0.9909354223312477,60,0.35,-0.1516141297956537,-0.17362585361107474,0.5245705925015914,-0.027844430388486392,-1.598402691738281,194,0.36082474226804123,-0.3408838733194284,-0.355488332464454,0.5952432572792153,-0.021222706691961093,-1.0798552808001782
0.1,40,3.0,63,0.31746031746031744,-0.14451482946493333,-0.18611646402034332,0.5603587837285849,-0.024565208411468937,-1.0243594763540405,61,0.36065573770491804,-0.08562206024519003,-0.2243902164135042,0.7163618563871448,-0.013722362814091322,-0.5879571004000661,54,0.35185185185185186,-0.05683331875296338,-0.13661050639193295,0.7800936133577429,-0.013950254507035851,-0.4397876553291362,178,0.3539325842696629,-0.2476645256154073,-0.3374477470177982,0.6878702902996587,-0.016359957478602073,-0.6274087597588208
0.1,40,5.0,57,0.3508771929824561,-0.12392168202561249,-0.1744000735271487,0.5725486601368556,-0.02338448342125564,-0.7834695845420517,59,0.3559322033898305,-0.08964546564399523,-0.2273471000421492,0.7190839013107077,-0.01432546116788451,-0.5939036519486395,49,0.42857142857142855,0.01420738706105329,-0.10372840869467537,1.0540347057151287,0.005176817745535027,0.2022268914637718,165,0.37575757575757573,-0.18535227800401277,-0.3306996788623995,0.7639958197714314,-0.011157923941387851,-0.3988110482123483
0.1,60,3.0,62,0.2903225806451613,-0.11905140662250024,-0.17889167927422267,0.6302259418676635,-0.022938208316192258,-0.7457452566521672,61,0.3442622950819672,-0.1066098741228858,-0.23646397461956858,0.6579372653820141,-0.01590957732012727,-0.7298955378652922,52,0.3269230769230769,-0.10213529246082065,-0.14364868709302336,0.6177755309464198,-0.021799387203100613,-0.9038503430161914,175,0.32571428571428573,-0.25650502968783995,-0.3391867943017659,0.6878860372789957,-0.01663481151389471,-0.6167134591406177
