symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,ret_pct,hold_days,reason,score
ECC,2024-07-05,2024-07-24,6.162870624081283,6.055216776084335,1618,-223.60608959273213,-0.022424463359226203,13,stop,0.15548391335015646
ORC,2024-07-05,2024-07-25,5.54279247298006,5.504501674794752,1799,-118.57035136498632,-0.01189094375732767,14,stop,0.1538223940381448
AAPL,2024-07-05,2024-07-25,219.77664406915162,212.9180996086207,45,-357.3126593876402,-0.036128867802836084,14,stop,0.1439864316946987
GSBD,2024-07-05,2024-07-30,11.26758109283447,10.875130071975187,885,-396.3099019126073,-0.03974302870170488,17,stop,0.14436491232805243
ORCL,2024-07-05,2024-08-02,141.57452630528965,129.78448165513697,70,-872.7909519037622,-0.08806981379663559,20,stop,0.17226574481455678
FSK,2024-07-05,2024-08-02,14.218027692909402,13.837802119611998,701,-315.7059686279237,-0.03167564148530295,20,stop,0.14593448699105016
EIG,2024-07-05,2024-08-05,39.85874157737961,43.02292580767706,250,739.2450154587024,0.07418648820345439,21,signal,0.1564624263736842
SITC,2024-07-05,2024-08-05,6.53133831499302,6.761711037873747,1527,301.032931934301,0.030183721925109097,21,signal,0.1504634518346994
FHI,2024-07-05,2024-08-05,30.74723185334888,31.2374325204903,324,108.61743801101122,0.010903063007615487,21,signal,0.14718686417615767
TRIN,2024-07-05,2024-08-05,10.629718999034706,10.238847438889811,938,-415.5743117128442,-0.04167965082425406,21,stop,0.1436190640583429
AEG,2024-08-05,2024-08-22,5.153145414499578,5.30273057212201,1923,237.38563430225275,0.023955362739917066,13,stop,0.12458367284347081
SFM,2024-08-05,2024-09-04,92.63254091644286,98.99090634155273,106,623.206521538277,0.06346913027321766,21,signal,0.18828419513395553
GOOGL,2024-08-05,2024-09-04,154.3652423836844,155.2060417107669,64,4.279751478167352,0.00043320060794613697,21,signal,0.1577214767182838
IRM,2024-08-05,2024-09-04,95.73501589586215,105.1967946806103,103,922.8232736056176,0.09358591706980865,21,signal,0.12323162235886616
