symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,ret_pct,hold_days,reason,score
LRCX,2024-07-05,2024-07-17,107.29226957149947,99.43750206932471,46,-385.0932288387341,-0.0780260494508228,8,stop,0.11301276273858536
AMZN,2024-07-05,2024-07-18,198.84864389038083,184.22806728522588,25,-389.4567095773492,-0.07834234158359053,9,stop,0.1394450083350419
AVGO,2024-07-05,2024-07-24,172.48760648529571,148.48270041912966,28,-694.6052913359595,-0.14382095235081083,13,stop,0.130334749191641
AAPL,2024-07-05,2024-07-25,219.77664406915162,212.9180996086207,22,-174.68618903395745,-0.03612886780283609,14,stop,0.1439864316946987
INVH,2024-07-05,2024-07-25,33.34102731455929,30.96304045465737,149,-378.27330736941934,-0.0761448351717809,14,stop,0.11626882626358466
ARR,2024-07-05,2024-07-25,13.41356395106875,13.990257703092514,371,188.53633741658146,0.03788584448862073,14,stop,0.10986634661012241
LTC,2024-07-05,2024-07-30,30.04301444374301,31.355846345252758,166,192.4495684231846,0.03858916194006319,17,stop,0.11726306867490581
XHR,2024-07-05,2024-08-01,12.843971984948293,12.705606059958123,388,-78.46906959974521,-0.015745897790764317,19,stop,0.1234695138663401
AME,2024-07-05,2024-08-01,164.19031480050919,161.07869103667574,30,-117.74388835279235,-0.023903945145577126,19,stop,0.12114223716473269
AAMI,2024-07-05,2024-08-01,22.5212143466954,23.32098716895701,221,151.4219773824184,0.03042319601087665,19,stop,0.11046595421305518
ORCL,2024-07-05,2024-08-02,141.57452630528965,129.78448165513697,35,-436.3954759518811,-0.08806981379663559,20,stop,0.17226574481455678
RDN,2024-07-05,2024-08-02,29.228164340678664,32.02255648403441,170,449.015108019974,0.0903671305015194,20,stop,0.10938233913438028
EIG,2024-07-05,2024-08-05,39.85874157737961,43.02292580767706,125,369.6225077293512,0.07418648820345439,21,signal,0.1564624263736842
FHI,2024-07-05,2024-08-05,30.74723185334888,31.2374325204903,162,54.30871900550561,0.010903063007615487,21,signal,0.14718686417615767
NDAQ,2024-07-05,2024-08-05,58.480727124334344,63.81001450776124,85,427.0026449944657,0.08590112976307895,21,signal,0.1233394774803019
PNC,2024-07-05,2024-08-05,146.45984483764363,155.0723814140036,34,267.19600436484853,0.053657751853025085,21,signal,0.11724342128459037
FELE,2024-07-05,2024-08-05,92.71830508764948,93.4739981984374,53,15.381254686353065,0.0031300437631851946,21,signal,0.11323692343753963
MDU,2024-07-05,2024-08-05,12.925556567075382,13.060653568126869,385,27.000618149689956,0.0054257992953373295,21,signal,0.11312191081556688
ICE,2024-07-05,2024-08-05,137.5089415240387,148.15191060400494,36,357.4374101872605,0.07220488238512413,21,signal,0.11139018945109709
