symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,ret_pct,hold_days,reason,score
IP,2024-03-20,2024-03-26,35.23477400076675,33.84549520689402,282,-440.4782096635098,-0.044330622550832546,4,stop,0.04939467706798539
APPF,2024-03-27,2024-04-02,251.8616106109619,235.93471471615308,39,-668.7090816169372,-0.06807860343040434,3,stop,0.40323854099327283
CSGP,2024-03-19,2024-04-03,96.45636061096191,93.09681243896485,103,-394.84340377605355,-0.03974264714468425,10,signal,0.08951843088814626
CROX,2024-03-21,2024-04-04,140.14,134.51901447800518,71,-447.84194713147747,-0.04500951233188115,9,stop,0.35086373833274287
WFRD,2024-04-03,2024-04-12,119.64704412492279,112.05666111528863,84,-686.2499509097132,-0.06828118765896803,7,stop,0.2600427188011387
CNM,2024-03-20,2024-04-15,54.59454091644287,55.59167634010935,182,131.343918255569,0.013218718729215486,17,stop,0.3886340302673468
NDAQ,2024-03-20,2024-04-16,58.05957892981103,58.34964903174476,171,-0.16295752289742893,-1.6413621795508684e-05,18,signal,0.1452477120551523
APP,2024-03-19,2024-04-18,67.05698786163329,68.49355954174604,148,162.4589061174365,0.016369588712652986,21,stop,0.7614371658011048
NRG,2024-03-19,2024-04-22,62.313135803621556,67.76264640311811,160,819.891383036753,0.08223500675891017,23,signal,0.35852687142302453
CMG,2024-03-21,2024-04-22,59.11505575561523,57.89704682922363,170,-256.7916610851281,-0.025552529106939247,21,signal,0.26032310909866463
SMTC,2024-04-05,2024-04-22,32.87284015274047,31.3086601524353,289,-498.419154058684,-0.05246378904453545,11,signal,0.6158359165509766
FCX,2024-04-03,2024-04-23,47.260483466057366,45.93441914945547,184,-286.8654894578844,-0.03298848125962131,14,stop,0.14062372851789662
GPC,2024-04-19,2024-05-08,148.5212143392401,141.8167274676519,66,-490.4018939229576,-0.050028756896194355,13,signal,0.1566356832247544
FIX,2024-05-08,2024-05-14,340.11786673960853,315.9318641865419,27,-697.305425770315,-0.07593287329464025,4,stop,0.5179391512205698
ETR,2024-04-22,2024-05-23,49.41060865981318,51.37964511873277,199,341.6951040701716,0.03475085353218388,23,stop,0.09008683432220699
WFC,2024-04-19,2024-05-24,55.79156484460876,56.98731857433601,177,161.74375424884033,0.016378936918601088,25,signal,0.2737422580354787
AXP,2024-04-22,2024-05-24,226.66170452463228,230.917652894355,43,133.8159989755357,0.013729712227753297,24,signal,0.2652498185141743
ELV,2024-04-19,2024-05-24,510.3566299534505,502.77906085934427,19,-192.09775810162654,-0.019810477081605476,25,stop,0.12264596343819734
KMI,2024-04-22,2024-05-24,16.81859815372052,17.271018513583183,585,214.8098461437269,0.0218327541236352,24,stop,0.11349003819119896
DUK,2024-04-22,2024-05-29,89.76443462953347,92.69543256746067,109,269.7584614228841,0.0275704768837308,26,signal,0.03971274765132993
GOOGL,2024-03-19,2024-06-13,146.91022099503323,174.4755408981756,67,1793.0443183934271,0.18216469430887408,60,time,0.119296474292367
GOOG,2024-03-19,2024-06-13,147.72973853431463,176.19545226528325,67,1852.9453505159647,0.1872060495629031,60,time,0.11471468769720317
GE,2024-04-24,2024-06-13,159.90986979043672,154.22464427511105,55,-355.8808990269246,-0.04046380507325324,35,stop,0.5707992937753121
FSLR,2024-05-28,2024-06-17,277.0367697753906,259.1319955848004,36,-692.827059743665,-0.06946802086811027,14,stop,0.9140959104271733
AVAV,2024-06-13,2024-06-17,218.85863938903807,207.5531523736528,48,-593.8327917500158,-0.05652743035106178,2,stop,0.34960609306583135
MU,2024-06-18,2024-06-21,150.8105522613511,136.53350620308294,69,-1034.6830281056175,-0.09943207540572199,2,stop,0.5778708282503597
NVDA,2024-05-24,2024-06-24,104.25617380165608,120.93905693293927,97,1563.6298202813302,0.15461813403122074,19,stop,0.3170239609445671
AVGO,2024-06-14,2024-06-24,165.2131075256594,161.0126617482825,63,-316.0086426353905,-0.030360848940406943,5,stop,0.335800097323939
P,2024-05-15,2024-06-25,56.90684847259521,63.486449237823486,152,954.3498631847392,0.11033149242091385,27,signal,0.32076799476964
IP,2024-05-24,2024-06-27,41.30169139566568,38.16455774292206,245,-817.2708225195722,-0.08076665053819465,22,stop,0.2856627756944361
TPL,2024-06-13,2024-06-28,250.7364206246002,239.93561185967954,42,-505.1545315375177,-0.047968654957146396,10,signal,0.45428121979364056
CHWY,2024-06-26,2024-06-28,29.329299236297604,26.02998199034803,346,-1189.449545359601,-0.11721096441205492,2,stop,0.9448767589322855
TXRH,2024-06-28,2024-07-01,168.58233082859795,162.2321381507484,59,-423.4565021675769,-0.0425740278653235,1,stop,0.13242104635674457
BJ,2024-05-28,2024-07-03,87.31723336029052,85.64427335357666,111,-233.69537885833557,-0.02411166378590255,25,signal,0.23066177058831228
TMDX,2024-07-01,2024-07-10,151.06091366577147,137.55347751701302,65,-924.8831882365014,-0.09419360562188574,6,stop,1.0370569400041107
HCC,2024-07-02,2024-07-11,72.1844699863058,65.87962123727445,137,-911.0512298613713,-0.09212520336232825,6,stop,0.21260715360255378
CNK,2024-06-25,2024-07-17,20.428153568560706,20.172115989499652,494,-176.62389696036536,-0.0175022305249586,15,signal,0.15470248442505863
NTAP,2024-05-29,2024-07-17,111.87598286520395,122.70117518438319,90,921.4874481649741,0.0915187438969062,33,stop,0.3601784503570271
FN,2024-05-24,2024-07-18,243.36311511230465,240.2280084609173,40,-173.76337841281662,-0.017850217188072042,36,stop,0.21730617383249418
PANW,2024-06-28,2024-07-18,170.17,160.10580145634026,58,-631.6135067434335,-0.06399417081330774,13,stop,0.20746827581852334
URBN,2024-07-12,2024-07-22,48.46841816711425,45.49564148678542,186,-596.6297502802253,-0.06618096795327204,6,stop,0.25156248603016196
HOOD,2024-07-17,2024-07-24,24.154129159927365,21.982009706120866,410,-937.8585183983638,-0.09470264010869842,5,stop,0.43280967978846285
VMI,2024-07-18,2024-07-24,282.0416593766393,270.46473943921643,34,-440.57832177172537,-0.04594422669013626,4,stop,0.3458887631299459
OLLI,2024-06-18,2024-07-25,96.03594244384765,97.08282030487061,95,53.58769064436094,0.005873644177345234,25,signal,0.279733378092448
NYT,2024-07-23,2024-07-26,53.868088508282014,51.90913897824647,178,-395.7638825778324,-0.041274763228511986,3,stop,0.2964324945464625
LNTH,2024-07-11,2024-07-30,109.00890152740477,111.47840634155274,87,166.8909293693749,0.017597522015147703,13,signal,0.757365169199065
UTHR,2024-06-24,2024-07-31,316.35604855346674,316.05942624564955,29,-54.452168849634376,-0.005935277682853086,26,stop,0.3338961647519063
MTB,2024-07-19,2024-08-02,158.09050223863116,151.79751589403233,60,-424.06238339582933,-0.04470671096522974,10,stop,0.21464275897117147
EWBC,2024-07-25,2024-08-02,79.92924953121883,76.2332900062675,106,-433.15478262227526,-0.05112478720570239,6,stop,0.12920227890995184
RVTY,2024-07-30,2024-08-02,125.46481623997383,118.41631468854756,76,-582.0235327848155,-0.06103866094300008,3,stop,0.2380067358092801
CVLT,2024-08-01,2024-08-02,151.53138488769528,141.3863046906808,61,-663.5198396785864,-0.07178298033124954,1,stop,0.49165613626082094
MTH,2024-07-19,2024-08-05,91.01528330922909,82.43607531546861,105,-946.3478209838332,-0.09902552695134341,11,stop,0.29706476221826494
THC,2024-07-25,2024-08-05,146.35621672058105,135.79406268310547,64,-721.1219031030269,-0.07698702513946797,7,stop,0.4851828676824743
MHK,2024-07-29,2024-08-05,161.18102427673338,142.7471093902588,57,-1094.0429075765976,-0.11908185412501249,5,stop,0.45742279501531447
LUMN,2024-08-07,2024-08-07,7.227219789981842,6.220673181767039,1259,-1309.5694228710156,-0.1439234409455794,0,stop,2.787878637362014
AMT,2024-08-05,2024-08-08,216.41331658105375,206.5854125245835,42,-457.1868369278428,-0.05029912692621861,3,stop,0.31701036846569597
LUMN,2024-08-08,2024-08-08,6.376369885444641,5.038172665767242,1222,-1670.148429939734,-0.2143435215662874,0,stop,4.10000027509837
TSN,2024-08-06,2024-08-12,58.04385285440273,55.801987330013695,155,-391.60441935176163,-0.043527092027944816,4,stop,0.016629369457133558
FICO,2024-06-25,2024-08-27,1446.8153651123046,1699.848498779297,6,1470.9988440435804,0.16945249540409266,44,signal,0.12904742627774946
CW,2024-08-13,2024-09-06,298.2231922661279,295.39355430281944,29,-125.09671506219435,-0.01446460215569487,17,stop,0.07776231755229435
TKO,2024-08-09,2024-09-09,115.75412139651067,112.82266499198954,51,-178.6478168951113,-0.03026154341834062,20,signal,0.1897833995539111
FOXA,2024-08-07,2024-09-10,38.23880271751219,39.21919269567226,191,150.26829301877763,0.020574519433549186,23,signal,0.19195325380882844
RYAN,2024-08-05,2024-09-12,63.89630101679894,61.436921524983184,144,-399.2706069365099,-0.04339394462664178,27,signal,0.29765280804668093
PM,2024-07-25,2024-09-17,103.95045849260828,113.46385539365798,91,816.2573615863975,0.0862897696307118,37,stop,0.155951084656903
VTR,2024-07-03,2024-09-19,49.00498305112584,58.87052978203842,201,1928.767447714763,0.19581392240904388,54,stop,0.2221911076051435
ADC,2024-08-05,2024-09-19,63.59693828688395,67.72943812024792,112,426.06859594276796,0.05981709174717781,32,stop,0.2468853169338856
SUI,2024-09-09,2024-09-20,127.64744769062408,126.76710990172546,49,-74.30233496109494,-0.011879392892795528,9,stop,0.1987064896745685
CNK,2024-08-05,2024-09-24,23.368865246447616,26.795065806342727,393,1297.2107577794122,0.14124736898660067,35,signal,0.41273441765715946
YOU,2024-09-18,2024-10-02,31.26939781367949,28.960887134483283,309,-759.8576949940837,-0.0786419491100923,10,stop,0.7847816322103314
SMTC,2024-09-20,2024-10-02,46.18613938903808,41.766288575731785,208,-965.0642317093901,-0.100457235538492,8,stop,0.5634328652737672
BBY,2024-08-27,2024-10-03,78.86907846344621,87.26768791819234,114,910.0924994222909,0.10122176769812347,26,stop,0.2558246175290062
VST,2024-10-04,2024-10-09,133.15698020891838,121.09995873091961,72,-913.8717954250825,-0.0953210549340639,3,stop,0.48573110704400846
ADMA,2024-09-23,2024-10-10,20.080059465408322,18.255432602333087,345,-662.560629669383,-0.09564043356310531,13,stop,0.8163635947487571
CRS,2024-09-20,2024-10-24,154.97340568555694,146.73332153311136,62,-557.6497601705194,-0.05803802872308235,24,stop,0.5766025425457282
IDCC,2024-10-11,2024-10-24,149.84210051567405,144.84476393094974,41,-235.0962035794756,-0.03826730755980736,9,stop,0.25771498159297224
TMUS,2024-10-25,2024-10-25,225.73278922237736,217.44468030359454,23,-216.10920962974836,-0.04162466881734834,0,stop,0.3349353725748345
CIEN,2024-10-03,2024-10-28,65.5554878616333,63.346589847564694,146,-369.5483684178731,-0.03861085152297323,17,signal,0.40617668946195384
CNX,2024-10-25,2024-10-28,37.497459083557125,35.314648475646976,262,-619.5883097237376,-0.06306669664039066,1,stop,0.4674556293155643
