split,model,ic_mean,ic_std,ic_t,ic_pos,n_days,decile_spread,top_decile,gross_mean,net_mean,win,n_trades,total_return,sharpe,max_dd,days
검증,LightGBM,0.03817502645698248,0.1410192381022968,2.0793470883179217,0.6101694915254238,59,0.002851280245196948,0.0007077084545576938,0.0005904679250451809,-0.006504447329192109,0.3644067796610169,590,-0.32396042462931296,-6.958201342897108,-0.30838570212472605,59
검증,GRU,0.03859153000329623,0.16056905453018175,1.8461039548118159,0.6101694915254238,59,0.002225633946022101,0.0007138314908656549,-0.0005531024262713192,-0.008407339714406914,0.3220338983050847,590,-0.401371986139488,-5.896727108455586,-0.3694068008083241,59
검증,앙상블(LGBM+GRU),0.039355916813115246,0.15640535256070562,1.9327889239928644,0.6440677966101694,59,0.0021702871517140627,0.0005065164356883055,0.0009970491992481094,-0.006111425377023079,0.34915254237288135,590,-0.3075601668421595,-6.8878419784256035,-0.31008793472057894,59
검증,갭 페이드(갭↓),0.009330040545807945,0.11524718142199153,0.6218408153815307,0.5932203389830508,59,0.0016613865389401455,0.0009073664679126214,-0.01076060171407204,-0.019130093239495775,0.3813559322033898,590,-0.6920940100715972,-8.50953132874156,-0.6971691771776729,59
검증,단기 반전(전일 수익률↓),0.01761588879189648,0.10272740837082212,1.3171772892426472,0.5932203389830508,59,2.839765097630855e-05,-0.000679367599676393,-0.01855137485907724,-0.027232730791280635,0.3593220338983051,590,-0.8129040036148963,-10.979933428523989,-0.8113230215432616,59
검증,20일 모멘텀(↑),0.007660114996468597,0.08157598739554703,0.7212718057338663,0.5084745762711864,59,0.00047490306745052264,9.301497199334009e-05,-0.013111702609987543,-0.022579499220157038,0.3898305084745763,590,-0.7565442012071818,-7.791112769528955,-0.7815933782929987,59
검증,52주 고가 근접(↑),0.03102782635767836,0.17554273258720426,1.3576708815016991,0.6271186440677966,59,0.0008799179209682091,0.0004768590759352486,0.0009447099951419572,-0.006258679835366517,0.2847457627118644,590,-0.31072495994449967,-13.076163072807024,-0.30980649439772456,59
테스트,LightGBM,0.04036981405699253,0.1550341245539272,4.0423877496614695,0.6141078838174274,241,0.0050408904255049925,0.0010815219235912298,0.004350686796177515,-0.002884997851125391,0.42780082987551865,2410,-0.5210945866078344,-2.513558771337058,-0.5331096615072508,241
테스트,GRU,0.040470301110391675,0.15400086649295103,4.079639542006887,0.6265560165975104,241,0.004837246023554806,0.0009468300006466166,0.0017475186188105432,-0.006125510426832614,0.3796680497925311,2410,-0.7933680461823484,-3.4513739302684017,-0.8128230214165508,241
테스트,앙상블(LGBM+GRU),0.041580587069329794,0.15810175785180808,4.082840737560745,0.6141078838174274,241,0.005001680685173055,0.0010131462230466746,0.0035085570706381943,-0.0036839740496937574,0.3879668049792531,2410,-0.6072537058911912,-3.0214627210873823,-0.6129987209191969,241
테스트,갭 페이드(갭↓),0.02349437211252987,0.14529367653660102,2.5103001434613286,0.5892116182572614,241,0.0027307902841813194,0.0007595135861569068,-0.000433976450456294,-0.009677959852945926,0.44356846473029043,2410,-0.9232292152150969,-3.605785891973711,-0.9280014612837443,241
테스트,단기 반전(전일 수익률↓),0.0017109160361985637,0.13203627474773305,0.20116107855455279,0.5145228215767634,241,-0.0010725270660301828,-0.001935379738170757,-0.01769983980200178,-0.026937184200342038,0.3804979253112033,2410,-0.9989432094011407,-9.313468440355098,-0.9990066441541366,241
테스트,20일 모멘텀(↑),-0.0030517826721384337,0.12762396133283563,-0.37121874953984113,0.49377593360995853,241,0.001278387421120047,-0.0005903033187957839,-0.011430574804700156,-0.020528500115903483,0.38589211618257263,2410,-0.9949420328478642,-6.8248674225349415,-0.9954316276852384,241
테스트,52주 고가 근접(↑),0.012631881108244819,0.15808913918224266,1.2404364403598835,0.5435684647302904,241,0.0013603146061868395,-0.0003767664485235054,-0.0007632034477892102,-0.007895983530776763,0.2713692946058091,2410,-0.853610638860574,-13.207025609940127,-0.8526329609442364,241
