n,win,mean,median,pf,t,avg_win,avg_loss,entry,exit,risk,window
14244,0.35607975287840493,-0.015203993030225987,-0.020219353132614023,0.610921588583726,-17.828380503570692,0.06704381520475029,-0.06068599078074929,open(시가),→12:30,손절없음,train
14244,0.16996630160067397,-0.011091073836450107,-0.02598,0.4989017897563705,-25.93184293555578,0.06496852132946644,-0.026665824736956237,open(시가),→12:30,손절2%,train
14244,0.21882898062342038,-0.013320568573563762,-0.03597000000000005,0.5081111640708533,-27.588106305267054,0.06287958934679029,-0.03466647422987216,open(시가),→12:30,손절3%,train
14244,0.2835579893288402,-0.015307881720363936,-0.05049093599631548,0.5410509378073411,-24.986997340534888,0.06364244810491893,-0.04655534690060083,open(시가),→12:30,손절5%,train
14244,0.2561780398764392,-0.01708182354756413,-0.03597000000000005,0.34491197587594924,-63.401759267096274,0.03510758427035825,-0.03505625951996608,open(시가),→12:30,손절3%+익절5%,train
14244,0.22978096040438079,-0.014536600482790206,-0.03597000000000005,0.45669081715861276,-41.77907902079711,0.05317702636515734,-0.03473773991158724,open(시가),→12:30,손절3%+익절10%,train
14244,0.2993541140129177,-0.01664485993694913,-0.044950618250838785,0.4914722205833344,-37.918631692995326,0.05373771641228441,-0.04671613303846534,open(시가),→12:30,손절5%+익절10%,train
14244,0.2335018253299635,-0.013215889961704932,-0.03597000000000005,0.4853861479847004,-31.3221037192665,0.05338411411912915,-0.03350455213177767,open(시가),→12:30,트레일3%,train
14244,0.28531311429373774,-0.015388600002790874,-0.03694038986491021,0.5170849526091938,-25.816262218013527,0.057752200779486014,-0.04458744227972341,open(시가),→12:30,트레일5%,train
14244,0.22191800056164,-0.0140498302482195,-0.03597000000000005,0.47516685495165906,-32.33962843711655,0.057319636922834816,-0.034405229122865595,open(시가),→12:30,손절3%+트레일5%,train
14244,0.35727323785453524,-0.014993664685584876,-0.02128097331462919,0.6415491240955916,-14.257218047940478,0.07511169779536915,-0.0650806324262266,open(시가),→14:30,손절없음,train
14244,0.15873350182532997,-0.010849670321577973,-0.02598,0.5205268713839244,-22.835920804378166,0.07420391614602335,-0.02689791859022911,open(시가),→14:30,손절2%,train
14244,0.20850884582982307,-0.013069572504434815,-0.03597000000000005,0.5311422760465546,-24.568183072743416,0.07100790399669822,-0.03521877466944857,open(시가),→14:30,손절3%,train
14244,0.2758354394832912,-0.015364317056713303,-0.05594999999999994,0.5583284608025572,-23.263308818954705,0.0704131135788769,-0.04803707759643545,open(시가),→14:30,손절5%,train
14244,0.2572311148553777,-0.017081478164399328,-0.03597000000000005,0.3539307281790317,-62.27953091686466,0.03637819394638354,-0.03559530033962697,open(시가),→14:30,손절3%+익절5%,train
14244,0.2241645605167088,-0.014549688557994284,-0.03597000000000005,0.4682328312747779,-40.667644694154305,0.05715142785561611,-0.03526651642050971,open(시가),→14:30,손절3%+익절10%,train
14244,0.2985818590283628,-0.01661127127078121,-0.05594999999999994,0.5080084483652552,-36.58077863868917,0.057445067280525106,-0.048135804136230684,open(시가),→14:30,손절5%+익절10%,train
14244,0.230342600393148,-0.01322985585546587,-0.03597000000000005,0.4879753558649445,-31.16792253069693,0.054737867259306724,-0.033571194862997464,open(시가),→14:30,트레일3%,train
14244,0.2834175793316484,-0.015313788059549142,-0.03957033295124212,0.5270959979811657,-25.298729349198005,0.06022441322852167,-0.04519011985145095,open(시가),→14:30,트레일5%,train
14244,0.2180567256388655,-0.014030579321154256,-0.03597000000000005,0.4833460253229163,-31.514088917572817,0.060195564815500764,-0.0347296638685102,open(시가),→14:30,손절3%+트레일5%,train
14244,0.36267902274641955,-0.015002592365258192,-0.021726099487264946,0.6601261974157436,-10.970598181152893,0.08034394458509271,-0.06926126276463171,open(시가),→종가,손절없음,train
14244,0.15094074698118506,-0.01098657472319287,-0.02598,0.5212780179556228,-22.22649588781822,0.07925777208938775,-0.027029682516069367,open(시가),→종가,손절2%,train
14244,0.20120752597584948,-0.01334599568159865,-0.03597000000000005,0.530666597644063,-24.210526040375726,0.0749975449853299,-0.035598815821466574,open(시가),→종가,손절3%,train
14244,0.27049985959000283,-0.015609278521881624,-0.05594999999999994,0.5634837349024436,-20.648023242186543,0.0744897882698309,-0.04901816162730634,open(시가),→종가,손절5%,train
14244,0.2568800898623982,-0.017106390384300497,-0.03597000000000005,0.35889852371259473,-61.718169508690146,0.03727973609541563,-0.035906469438554744,open(시가),→종가,손절3%+익절5%,train
14244,0.2199522606009548,-0.01462977950926362,-0.03597000000000005,0.47342986210056454,-40.249842085615924,0.05980104491460859,-0.03561724894675724,open(시가),→종가,손절3%+익절10%,train
14244,0.2976691940466161,-0.016703864236071866,-0.05594999999999994,0.515501490223823,-36.069638686546206,0.059706352332352275,-0.049088842069950143,open(시가),→종가,손절5%+익절10%,train
14244,0.2297107554057849,-0.013239302152697035,-0.03597000000000005,0.4888827288669406,-31.111506121892372,0.05512744979224741,-0.03362719974327835,open(시가),→종가,트레일3%,train
14244,0.2814518393709632,-0.015419779154659308,-0.04082370778468863,0.5284633147087376,-25.348967228882174,0.06140071390202528,-0.04550999475448817,open(시가),→종가,트레일5%,train
14244,0.21489750070205,-0.014163768261380523,-0.03597000000000005,0.4828846648653409,-31.666127439383715,0.06154651186839769,-0.03488711329198511,open(시가),→종가,손절3%+트레일5%,train
10296,0.3586829836829837,-0.017184989716536276,-0.020235032147779993,0.5921412028227522,-15.66167423624071,0.0695590993716839,-0.06570019810708558,open(시가),→12:30,손절없음,test
10296,0.17142579642579642,-0.010787014929604868,-0.02598000000000011,0.5212117587913873,-17.62769976424566,0.06850082992083537,-0.027191076137086646,open(시가),→12:30,손절2%,test
10296,0.22144522144522144,-0.012639139716042594,-0.03597000000000005,0.540937848895598,-18.492939166988084,0.0672553882059258,-0.035363631190853964,open(시가),→12:30,손절3%,test
10296,0.2841880341880342,-0.01489342452338954,-0.05594999999999994,0.5611951578945106,-18.099608378947014,0.06702414535680638,-0.04741592241612404,open(시가),→12:30,손절5%,test
10296,0.26078088578088576,-0.016969734085716247,-0.03597000000000005,0.35906872833749265,-52.122986831354176,0.03645569672930852,-0.03581709734131228,open(시가),→12:30,손절3%+익절5%,test
10296,0.23407148407148406,-0.013966037753124676,-0.03597000000000005,0.48568673755511704,-32.8862018192569,0.05634471987289175,-0.03545334765405031,open(시가),→12:30,손절3%+익절10%,test
10296,0.30303030303030304,-0.016430725422019635,-0.052487697774127366,0.5053824770528255,-31.190008330655385,0.05540147908924465,-0.04766211868778672,open(시가),→12:30,손절5%+익절10%,test
10296,0.23484848484848486,-0.011900568516390377,-0.03597000000000005,0.5451862941416556,-18.70039095063635,0.060742313927076685,-0.03419689877131592,open(시가),→12:30,트레일3%,test
10296,0.289044289044289,-0.014164995154223163,-0.03847498728479786,0.5609238926429659,-18.970330392810833,0.06260603090272214,-0.04537682214130912,open(시가),→12:30,트레일5%,test
10296,0.2233877233877234,-0.013062985703304157,-0.03597000000000005,0.5210181222262376,-20.516021188927724,0.0636087551762101,-0.03511713828245408,open(시가),→12:30,손절3%+트레일5%,test
10296,0.36645299145299143,-0.016225359227398012,-0.021541671114669644,0.6357301329531522,-14.155791525771557,0.07727261317521328,-0.0703059739560585,open(시가),→14:30,손절없음,test
10296,0.15947940947940947,-0.011123013730780578,-0.02598000000000011,0.5160530685026865,-21.405458918370954,0.07437285933583822,-0.027344902288139957,open(시가),→14:30,손절2%,test
10296,0.20998445998446,-0.013025428901272477,-0.03597000000000005,0.5406063056285504,-21.379173374829072,0.07299631794663868,-0.03588982731351539,open(시가),→14:30,손절3%,test
10296,0.27913752913752915,-0.015312310083298067,-0.05594999999999994,0.5674812824882906,-20.34430806814561,0.0719729196025035,-0.04911152190180975,open(시가),→14:30,손절5%,test
10296,0.260003885003885,-0.017051375817383325,-0.03597000000000005,0.3654724562010292,-51.578960806150775,0.03777319862258176,-0.03631445309468828,open(시가),→14:30,손절3%+익절5%,test
10296,0.22698135198135197,-0.014175351361544113,-0.03597000000000005,0.49014545320988695,-32.647892222750606,0.06003746350538139,-0.035966449281383914,open(시가),→14:30,손절3%+익절10%,test
10296,0.30225330225330227,-0.01660745477173801,-0.05594999999999994,0.5168345073063977,-30.5252390429567,0.05877432045569113,-0.04926169816090274,open(시가),→14:30,손절5%+익절10%,test
10296,0.2329059829059829,-0.011896133956135944,-0.03597000000000005,0.5469771247441032,-18.59106558842061,0.0616700403931207,-0.03423238187833364,open(시가),→14:30,트레일3%,test
