screen,window,n,key,key_win,key_mean,d3_win,d3_mean
ross_5pillars,train,1581,진입시가→당일종가(단타),0.38140417457305503,-0.00354368131399888,0.3592662871600253,-0.01102103225857277
ross_5pillars,test,1690,진입시가→당일종가(단타),0.40532544378698226,-0.007221362453069473,0.3585798816568047,-0.012044092615894047
warrior_scanner,train,10632,진입시가→당일종가(단타),0.35957486832204666,-0.01253555535217252,0.39945447705041387,-0.009420276413900764
warrior_scanner,test,6808,진입시가→당일종가(단타),0.37823149236192716,-0.012948095935756146,0.40246768507638075,-0.011933188742895461
finviz_top_gainer,train,1426,진입시가→당일종가(단타),0.40953716690042075,-0.014227078112172453,0.40883590462833097,-0.023529320410257994
finviz_top_gainer,test,1089,진입시가→당일종가(단타),0.4251606978879706,-0.012251853993541109,0.39669421487603307,-0.023096820742894885
kr_screener_basic,train,11560,진입시가→당일종가(단타),0.3492214532871972,-0.012837627553691791,0.40536332179930795,-0.008913734328579006
kr_screener_basic,test,8326,진입시가→당일종가(단타),0.3815757866922892,-0.012392515400204139,0.39586836416046123,-0.012719409660018713
kr_newhigh_alignment,train,416,진입시가→당일종가(단타),0.3293269230769231,0.008739995662755807,0.37740384615384615,0.0013740911187256366
kr_newhigh_alignment,test,438,진입시가→당일종가(단타),0.3789954337899543,-0.015184362886490995,0.3812785388127854,-0.0233781528137902
big_candle_maxvol,train,2153,진입시가→당일종가(단타),0.3817928471899675,-0.012436560902677963,0.3813283790060381,-0.009468722830125356
big_candle_maxvol,test,1304,진입시가→당일종가(단타),0.401840490797546,-0.0046663810591470335,0.3834355828220859,-0.01894222551705021
volume_3x_after_base,train,2066,진입시가→당일종가(단타),0.3383349467570184,-0.013846262739792572,0.41045498547918685,-0.009992642969925618
volume_3x_after_base,test,971,진입시가→당일종가(단타),0.3717816683831102,-0.013294847611684934,0.407826982492276,-0.008685464734152925
pullback_lowvol,train,3283,진입시가→당일종가(단타),0.38958269875114226,-0.008443333436020427,0.39628388668900394,-0.0026748776636374653
pullback_lowvol,test,2526,진입시가→당일종가(단타),0.3998416468725257,-0.006358568356530094,0.3824228028503563,-0.01398222666007032
pullback_ma,train,3204,진입시가→당일종가(단타),0.3888888888888889,-0.005282602708216219,0.40480649188514356,0.0018945805885509073
pullback_ma,test,2330,진입시가→당일종가(단타),0.3987124463519313,-0.007077601901523944,0.3665236051502146,-0.014022628770682735
threads_us_pullback,train,1172,진입시가→당일종가(단타),0.4044368600682594,-0.009510030080006358,0.37627986348122866,-0.0075780349049220045
threads_us_pullback,test,1006,진입시가→당일종가(단타),0.3628230616302187,-0.013912044521296197,0.34592445328031807,-0.031584429420928255
quiet_volume_spike,train,9230,진입시가→당일종가(단타),0.30335861321776814,-0.011563099897321173,0.38808234019501625,-0.009590885365110196
quiet_volume_spike,test,5051,진입시가→당일종가(단타),0.3320134626806573,-0.009529741248172538,0.3741833300336567,-0.010667396416446791
dryup_first_spike,train,7172,진입시가→당일종가(단타),0.3537367540435025,-0.01649270509881852,0.37897378694924705,-0.016258609508328074
dryup_first_spike,test,4124,진입시가→당일종가(단타),0.3765761396702231,-0.014308516052807946,0.37487875848690594,-0.022372956345006086
first_green_day,train,472,종가→다음날시가(오버나잇),0.3347457627118644,0.0083539042287172,0.3622881355932203,-0.012903873030859646
first_green_day,test,399,종가→다음날시가(오버나잇),0.3082706766917293,-0.02304861018332112,0.3308270676691729,-0.032082895797354606
multiday_runner_day2,train,654,진입시가→당일종가(단타),0.40061162079510704,-0.0017189668141958962,0.3746177370030581,-9.016305786608422e-05
multiday_runner_day2,test,441,진입시가→당일종가(단타),0.4036281179138322,0.006385593806439057,0.41723356009070295,0.046364948006260266
gap_and_go,train,2555,진입시가→당일종가(단타),0.3859099804305284,-0.010973568112235222,0.3863013698630137,-0.01290293975105949
gap_and_go,test,1994,진입시가→당일종가(단타),0.36810431293881646,-0.020031577596440347,0.31544633901705116,-0.04828919811230701
toss_second_volume,train,4827,진입시가→당일종가(단타),0.3693805676403563,-0.0119697925910565,0.40169877770872175,-0.00979271640752891
toss_second_volume,test,2601,진입시가→당일종가(단타),0.3613994617454825,-0.012518681863045758,0.39138792772010766,-0.016729594387683542
toss_pullback_after_green,train,400,진입시가→당일종가(단타),0.4175,0.0019944131691632537,0.4025,0.009910702198377625
toss_pullback_after_green,test,197,진입시가→당일종가(단타),0.4213197969543147,-0.003707240969459551,0.4213197969543147,-0.007181554214723962
toss_dryup_after_red,train,1267,진입시가→당일종가(단타),0.34648776637726914,-0.01297549080180741,0.4104183109707972,-0.007836010667143694
toss_dryup_after_red,test,640,진입시가→당일종가(단타),0.3140625,-0.0145103204215551,0.3734375,-0.01278214651679418
toss_weak_green_rising_vol,train,2792,진입시가→당일종가(단타),0.3445558739255014,-0.009210264618122905,0.39863896848137537,-0.00588167570039959
toss_weak_green_rising_vol,test,1319,진입시가→당일종가(단타),0.31842304776345715,-0.011316116954654528,0.3525398028809704,-0.012015908377703095
