model,kind,params,exclude_earnings,exit,train_n_trades,train_win_rate,train_total_return,train_max_drawdown,train_profit_factor,train_expectancy,train_sharpe,train_avg_hold_days,test_n_trades,test_win_rate,test_total_return,test_max_drawdown,test_profit_factor,test_expectancy,test_sharpe,test_avg_hold_days,both_positive,n_configs,oracle_test_expectancy
multiday_runner_day2,screen,"{""day1_ret"": 0.5, ""day1_rvol"": 5}",True,"{""stop_pct"": null, ""target_pct"": null, ""max_hold_days"": 3}",375,0.376,-0.1731263639424057,-0.55203547066522,0.96248363819684,0.003856467891753,0.1702687216214112,2.976,246,0.4105691056910569,1.1616570219975575,-0.5810579099547384,1.169061808496479,0.0465070476940786,1.17700498553669,2.975609756097561,True,96,0.0465070476940786
pullback_lowvol,screen,"{""surge_pct"": 0.1, ""vol_frac"": 0.3, ""hold_pct"": 0.85}",True,"{""stop_pct"": null, ""target_pct"": null, ""max_hold_days"": 10}",470,0.4340425531914894,1.3945474386506,-0.5189873702280294,1.3265557406264536,0.0378936549766375,1.1470547201521637,9.934042553191489,250,0.348,-0.3896908293013003,-0.6356603808325206,0.7740764126978138,0.0271507200180571,-0.1987244296377006,9.936,True,96,0.0786001003189518
surge_chase,strategy,"{""surge_pct"": 0.3, ""vol_mult"": 10.0, ""max_hold_days"": 5, ""stop_pct"": 0.1}",False,{},588,0.2397959183673469,0.626950557383509,-0.6047152535608231,1.0674137043370835,0.0215577562934115,0.6114373363898239,1.79421768707483,411,0.2043795620437956,0.0958887333491775,-0.5179229423888579,1.0372962353748578,0.0107674902787122,0.5986102116953642,1.8077858880778588,True,54,0.0250299951813767
volume_3x_after_base,screen,"{""min_rvol"": 5, ""max_range40"": 0.15}",True,"{""stop_pct"": 0.2, ""target_pct"": null, ""max_hold_days"": 5}",156,0.4038461538461538,-0.0276609947519761,-0.1233991161230356,0.9346294276529832,0.016293959644883,-0.1065663860243622,4.711538461538462,108,0.3981481481481481,0.0658592598370739,-0.1269930851453392,1.2153706255696288,0.0078276640320176,0.6496713867313113,4.796296296296297,True,96,0.0152775232294762
toss_weak_green_rising_vol,screen,"{""max_ret"": 0.03, ""window"": 10, ""base_adv"": 2000000.0}",True,"{""stop_pct"": null, ""target_pct"": 0.4, ""max_hold_days"": 10}",472,0.4194915254237288,-0.0276714014148115,-0.4079372507352738,0.972767318767004,0.0072098127835553,0.0237860382300571,9.608050847457626,251,0.4780876494023904,0.028743577682887,-0.1937780352766516,1.0408803882438864,0.0060535955051771,0.2437989153029108,9.366533864541832,True,96,0.0060535955051771
big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": null, ""target_pct"": null, ""max_hold_days"": 10}",399,0.3558897243107769,1.1081835295953502,-0.7431749674595606,1.136845552587676,0.0493309367339345,0.7898100414797299,9.862155388471178,241,0.2987551867219917,-0.4300652809652947,-0.866000739939973,0.9094595494488084,0.0041782638891224,0.4432096302157678,9.813278008298756,True,96,0.0460005430230512
pullback,strategy,"{""rsi_entry"": 15, ""max_hold_days"": 10, ""stop_atr_mult"": null, ""max_mcap"": null}",False,{},919,0.5331882480957563,-0.4097637287695957,-0.4726978605125791,0.7318093675448839,-0.0054719180801119,-1.0857693773068584,4.039173014145811,592,0.5422297297297297,-0.2222896469067287,-0.280251556118109,0.8054997169598106,-0.0038600629516106,-0.9353970492168724,4.206081081081081,False,24,-0.0021278915946643
toss_pullback_after_green,screen,"{""day2_max_ret"": -0.08, ""day2_vol_frac"": 0.7, ""base_adv"": 10000000.0}",False,"{""stop_pct"": null, ""target_pct"": 0.4, ""max_hold_days"": 10}",216,0.4305555555555556,0.151174214421345,-0.305720438319269,1.0842200357933516,0.0421699191451696,0.3795842777202135,8.453703703703704,115,0.3826086956521739,-0.0107866406716988,-0.2401828199280794,0.987671049781336,-0.0052005839152843,0.0931912217959633,8.826086956521738,False,96,0.0250223042492915
toss_dryup_after_red,screen,"{""dry_frac"": 0.4, ""drop_from_first"": 0.4, ""base_adv"": 10000000.0}",True,"{""stop_pct"": null, ""target_pct"": 0.15, ""max_hold_days"": 10}",526,0.5209125475285171,0.4841285056928248,-0.2084611330353704,1.328461333411784,0.0139455413523636,0.6340346811032043,8.100760456273765,271,0.4612546125461255,-0.184209417423752,-0.184209417423752,0.8087725927869723,-0.0062836846284382,-0.916034504993474,8.276752767527675,False,96,0.0026059120669119
gap_day,strategy,"{""gap_pct"": 0.03, ""stop_pct"": 0.05}",False,{},3204,0.347378277153558,-0.888121716081302,-0.8922955705408265,0.7112111505139187,-0.0066011090581041,-3.160294196958275,0.0,2370,0.3493670886075949,-0.8437388263356295,-0.8471418459965621,0.7292883699657675,-0.0075766557865082,-4.687009967096995,0.0,False,9,-0.0066732769647842
