train_n_trades,train_win_rate,train_total_return,train_max_drawdown,train_profit_factor,train_expectancy,train_sharpe,train_avg_hold_days,test_n_trades,test_win_rate,test_total_return,test_max_drawdown,test_profit_factor,test_expectancy,test_sharpe,test_avg_hold_days,model,kind,params,exclude_earnings,exit
3291,0.3381950774840474,-0.9217194166010862,-0.923702726473344,0.7488183077303459,-0.007364603617284455,-3.096513026754792,0.5873594652081434,2132,0.3236397748592871,-0.8748356007926673,-0.8748356007926673,0.6514968105077011,-0.00876538395701136,-2.3854201650843243,0.5351782363977486,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.05, ""target_pct"": null, ""max_hold_days"": 1}"
2059,0.28848955803788245,-0.8537571270820256,-0.8887449344321592,0.8052536773948062,-0.009036100533290535,-2.0204194329730982,1.4502185526954832,1256,0.24044585987261147,-0.8308949991469194,-0.8308949991469194,0.6120575427161214,-0.013955462325513372,-1.6513499708055732,1.2269108280254777,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.05, ""target_pct"": null, ""max_hold_days"": 3}"
1571,0.27753023551877787,-0.6671132478345074,-0.8218461756717926,0.8611150474891149,-0.00611275131437865,-0.9516175521477079,2.158497772119669,982,0.21283095723014256,-0.7136313670589083,-0.724189058851624,0.6893913370176227,-0.011910710441222655,-0.9767589643439047,1.740325865580448,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.05, ""target_pct"": null, ""max_hold_days"": 5}"
1109,0.21280432822362488,-0.6580222584871762,-0.801751511895611,0.8147956543132444,-0.008927522711674333,-0.8711643185171837,3.349864743011722,696,0.1752873563218391,-0.464050943784285,-0.6204036737433918,0.7976343908121826,-0.006973879921605729,-0.2442407129079994,2.75,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.05, ""target_pct"": null, ""max_hold_days"": 10}"
3345,0.34020926756352765,-0.9666824887286852,-0.9675143772075957,0.7044056355996938,-0.010026575801396898,-5.757796662430352,0.519880418535127,2141,0.32788416627744044,-0.9373548928842094,-0.9373548928842094,0.5959303860801546,-0.012745540804245241,-8.111114109226092,0.474077533862681,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.05, ""target_pct"": 0.15, ""max_hold_days"": 1}"
2226,0.31491464510332434,-0.877500895191747,-0.894342167402521,0.7782615697526883,-0.009183595617809986,-3.5888107570202,1.1823899371069182,1380,0.26956521739130435,-0.8457544415869971,-0.8457544415869971,0.6311851305429537,-0.013273839316340729,-5.414570891410546,0.9442028985507246,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.05, ""target_pct"": 0.15, ""max_hold_days"": 3}"
1830,0.3109289617486339,-0.7517099490958533,-0.8012453516972804,0.8319576351124665,-0.007267057412449727,-2.5142459125244576,1.6153005464480874,1149,0.2506527415143603,-0.8103122640361554,-0.8103122640361554,0.6191690340431845,-0.01436006178001206,-5.237276229926853,1.2645778938207137,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.05, ""target_pct"": 0.15, ""max_hold_days"": 5}"
1412,0.28257790368271957,-0.6644933573768785,-0.7313536758252173,0.849718453329408,-0.0072243043072634915,-2.0121524037805383,2.308073654390935,929,0.22604951560818085,-0.7712497631699933,-0.773986635667948,0.6401841475554918,-0.015984939379940173,-5.039920922059687,1.7341227125941874,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.05, ""target_pct"": 0.15, ""max_hold_days"": 10}"
3301,0.33686761587397757,-0.9284766832974516,-0.9302828984582759,0.7612829815165907,-0.007625535347001722,-3.4839476141769277,0.5758860951226901,2134,0.32239925023430177,-0.9312030204012822,-0.9312030204012822,0.5828402089580549,-0.012280230692118543,-6.887580077578146,0.5238987816307404,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.05, ""target_pct"": 0.4, ""max_hold_days"": 1}"
2100,0.2923809523809524,-0.7952607656064554,-0.8618775460941966,0.8409255235763066,-0.007213640957960011,-1.9598631951840588,1.3847619047619049,1283,0.24707716289945442,-0.7945068272103062,-0.7945068272103062,0.6728226235447601,-0.011932857403611765,-3.9133866022183583,1.1644583008573655,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.05, ""target_pct"": 0.4, ""max_hold_days"": 3}"
1638,0.2851037851037851,-0.6168018516946927,-0.7713684195778643,0.8742058226433179,-0.005319938594776551,-1.1547026570792096,2.0067155067155067,1013,0.21915103652517276,-0.7286271072960842,-0.7393426053521367,0.6835964961954413,-0.012335076512129695,-3.212902959815058,1.6288252714708786,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.05, ""target_pct"": 0.4, ""max_hold_days"": 5}"
1175,0.23148936170212767,-0.4706982828841876,-0.6982220342177217,0.8927784305205099,-0.004643869432536023,-0.7737164207808214,3.0825531914893616,761,0.18528252299605782,-0.6211479612364791,-0.6494776748583915,0.7122834117883702,-0.01183624769291192,-2.6782745488981283,2.392904073587385,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.05, ""target_pct"": 0.4, ""max_hold_days"": 10}"
3268,0.39075887392900854,-0.9428958487413768,-0.9453542546259175,0.7659793894163711,-0.008204103530067204,-2.934103429971071,0.826499388004896,2125,0.37929411764705884,-0.9196278423808519,-0.9209462914033993,0.6465038672268575,-0.010452432760522858,-2.4404129464866813,0.7948235294117647,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.1, ""target_pct"": null, ""max_hold_days"": 1}"
1737,0.38111686816350027,-0.8204297474766431,-0.8658886627645722,0.8590570272533308,-0.008698828029257892,-1.5139634608940855,2.1421991940126657,1025,0.3297560975609756,-0.7887912536857145,-0.7955774922769626,0.7005322207387645,-0.013703847375973766,-1.1193048284147171,1.9502439024390243,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.1, ""target_pct"": null, ""max_hold_days"": 3}"
1219,0.37325676784249384,-0.6161510844304865,-0.7629342976500014,0.8853423773727231,-0.005528520430269769,-0.7420534640412254,3.287120590648072,736,0.28940217391304346,-0.6260533853819537,-0.6697448838366704,0.7887742328080178,-0.011822618939855908,-0.5074004112056049,2.823369565217391,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.1, ""target_pct"": null, ""max_hold_days"": 5}"
780,0.2923076923076923,-0.8703210655592988,-0.9069216059233042,0.7022627341413755,-0.023638678831003845,-1.7887058135347196,5.337179487179487,473,0.2452431289640592,-0.6347023054013021,-0.6562134514167923,0.6794768512477688,-0.020553536249615166,-0.713153015404968,4.61522198731501,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.1, ""target_pct"": null, ""max_hold_days"": 10}"
3329,0.3992189846800841,-0.971107360516717,-0.9717956896378643,0.7479002234080677,-0.010288587132443672,-4.5712281471043035,0.7344547912285971,2134,0.3865979381443299,-0.9589034184931654,-0.9589034184931654,0.6230888121564557,-0.014473310745242675,-5.5043976116907185,0.7188378631677601,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.1, ""target_pct"": 0.15, ""max_hold_days"": 1}"
1924,0.41632016632016633,-0.8182620849967072,-0.8593160072089547,0.8604418710847664,-0.008192900095076212,-2.149438869144727,1.727130977130977,1134,0.37566137566137564,-0.8058550208859483,-0.8089659854876561,0.7250884410169743,-0.01334630764626328,-2.807604880198701,1.5687830687830688,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.1, ""target_pct"": 0.15, ""max_hold_days"": 3}"
1462,0.4179206566347469,-0.7149479524130901,-0.8017743399344884,0.881016313595464,-0.007907851016982803,-1.7472639929195533,2.454856361149111,880,0.35454545454545455,-0.804763986437776,-0.8055766484310698,0.7039814496674195,-0.01778413273294937,-2.9366382298928104,2.106818181818182,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.1, ""target_pct"": 0.15, ""max_hold_days"": 5}"
1013,0.40078973346495556,-0.6945839793224118,-0.7772571291640845,0.8494482164072007,-0.010765545080211145,-1.8295343780723214,3.771964461994077,652,0.3588957055214724,-0.7239977983575208,-0.7302821765790599,0.6828651194291868,-0.019334032584202424,-3.611032404746352,2.9846625766871164,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.1, ""target_pct"": 0.15, ""max_hold_days"": 10}"
3280,0.38902439024390245,-0.9475816587186955,-0.9495650724212579,0.7764452074576326,-0.008439760298327917,-3.215842204156981,0.8097560975609757,2125,0.37788235294117645,-0.9582529167748253,-0.9589399525272816,0.5947875703819937,-0.014276799473641948,-5.067746055687615,0.7816470588235294,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.1, ""target_pct"": 0.4, ""max_hold_days"": 1}"
1779,0.388982574480045,-0.6791021312153602,-0.7956219823981043,0.9099721104940457,-0.005196254867574476,-1.0954401976600128,2.040472175379427,1049,0.33555767397521447,-0.7644867591625853,-0.7688997223127512,0.7502826826387071,-0.012372957265984513,-2.1764886327954582,1.8531935176358436,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.1, ""target_pct"": 0.4, ""max_hold_days"": 3}"
1279,0.37607505863956214,-0.4990743133552391,-0.6693156804026004,0.9134345075773985,-0.004164417226079874,-0.6378548904506602,3.047693510555121,766,0.304177545691906,-0.7005457238612652,-0.7033647969123129,0.759314989949889,-0.014243433403064323,-1.8207224122465142,2.6344647519582245,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.1, ""target_pct"": 0.4, ""max_hold_days"": 5}"
824,0.3337378640776699,-0.5097413456660866,-0.746080076740129,0.8925772656531178,-0.0061732316571952465,-0.7766718650984628,4.974514563106796,518,0.26640926640926643,-0.6073672843155749,-0.6401447802438986,0.7521556184879268,-0.016400924276470705,-1.5059739418866822,4.0926640926640925,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.1, ""target_pct"": 0.4, ""max_hold_days"": 10}"
3256,0.40540540540540543,-0.9489991999408786,-0.9568217323107351,0.8147078723120305,-0.008397761530888236,-2.6525621285973364,0.9548525798525799,2122,0.4038642789820924,-0.8961735835192124,-0.8975777785086941,0.7086807537554006,-0.008978600689399213,-2.056209353545798,0.9481621112158342,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.2, ""target_pct"": null, ""max_hold_days"": 1}"
1563,0.4145873320537428,-0.8310641062101932,-0.8712108497733764,0.8396911052111176,-0.009439640099486689,-1.2534685401638617,2.6839411388355727,881,0.3620885357548241,-0.8693943664812859,-0.8784465600141684,0.6503741024494921,-0.021099401689520295,-1.4824166962091287,2.58683314415437,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.2, ""target_pct"": null, ""max_hold_days"": 3}"
1026,0.42007797270955166,-0.6381063009404775,-0.7326410997694597,0.878799333444921,-0.006028730324166328,-0.5627300110629848,4.266081871345029,571,0.3450087565674256,-0.7498739977794051,-0.7909828022206575,0.7532782455256868,-0.02154902686890389,-1.622811710347155,4.057793345008757,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.2, ""target_pct"": null, ""max_hold_days"": 5}"
592,0.36993243243243246,-0.796676417190408,-0.8720944132874233,0.7471619889999136,-0.022500295936908884,-1.0909477412669106,7.525337837837838,333,0.3213213213213213,-0.6309355753658867,-0.7193849780849124,0.7511179849923936,-0.029181796593168427,-1.0912090478129663,7.075075075075075,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.2, ""target_pct"": null, ""max_hold_days"": 10}"
3324,0.42178098676293624,-0.9686307706328795,-0.9703030952391674,0.7911385720969173,-0.009917864395599961,-3.7692821879395986,0.8540914560770156,2136,0.4204119850187266,-0.9380546107344734,-0.9380889366842172,0.6790729671446191,-0.012350973018109106,-4.377381981441011,0.8567415730337079,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.2, ""target_pct"": 0.15, ""max_hold_days"": 1}"
1750,0.4725714285714286,-0.8107117276289579,-0.8555261728118744,0.8687843401090105,-0.008311869664232347,-1.6849527031039033,2.1634285714285713,980,0.4357142857142857,-0.70488024909526,-0.7128564181684167,0.7915279025923015,-0.010760908534852613,-1.8458003409050652,2.0969387755102042,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.2, ""target_pct"": 0.15, ""max_hold_days"": 3}"
1252,0.4936102236421725,-0.5799916149374863,-0.7390408171686984,0.9142462142592467,-0.005589394108666042,-0.8525915547743037,3.18370607028754,698,0.45272206303724927,-0.6421500658616998,-0.6557074549325348,0.7895811556263028,-0.012734959911618942,-1.6451999584533654,3.037249283667622,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.2, ""target_pct"": 0.15, ""max_hold_days"": 5}"
803,0.49813200498132004,-0.5743856418857236,-0.6981172692908311,0.8900932047667595,-0.008563353581063868,-0.9343908529949067,5.184308841843088,460,0.46956521739130436,-0.5184026113144161,-0.6041806071023554,0.8266660014094108,-0.01295663224066165,-1.1657231690287504,4.73695652173913,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.2, ""target_pct"": 0.15, ""max_hold_days"": 10}"
3269,0.40379320893239523,-0.9572031773598346,-0.9617456949540292,0.8029935062224828,-0.008984310684130957,-3.0998734658696603,0.9388192107678189,2125,0.4051764705882353,-0.9392773493834913,-0.9400902842700232,0.6677863603194464,-0.01236767632584331,-3.9786518348805804,0.9312941176470588,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.2, ""target_pct"": 0.4, ""max_hold_days"": 1}"
1603,0.4279475982532751,-0.7033855008073869,-0.778916380681543,0.898883233661536,-0.005926448469696856,-1.0133993165483903,2.5483468496568933,905,0.39226519337016574,-0.6968136228821826,-0.7353443009274614,0.796391372606519,-0.01066119068171603,-1.4139959525818564,2.450828729281768,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.2, ""target_pct"": 0.4, ""max_hold_days"": 3}"
1093,0.42909423604757546,-0.5960734923145872,-0.7175474035244059,0.8974768032627212,-0.005782379089997749,-0.7195612602613155,3.891125343092406,601,0.3527454242928453,-0.7655742798310701,-0.8048945091293763,0.7386612343935962,-0.021526550536804922,-2.070111435926151,3.7703826955074877,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.2, ""target_pct"": 0.4, ""max_hold_days"": 5}"
668,0.41317365269461076,-0.5821940934551226,-0.7499067587117103,0.8856666977708152,-0.009106288237282559,-0.7449511491539231,6.49251497005988,367,0.37057220708446864,-0.4319022615433793,-0.6283547211655902,0.8771977080868005,-0.008952633503534669,-0.6510372289821145,6.283378746594005,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.2, ""target_pct"": 0.4, ""max_hold_days"": 10}"
3237,0.4080939141180105,-0.9619748038765205,-0.9674500162368649,0.7978956140400745,-0.009245197378993599,-2.813315107425724,0.998455359901143,2116,0.40784499054820417,-0.9209259900285242,-0.9219428139535168,0.6997413219178767,-0.01013912761457612,-2.2417072469225277,0.997164461247637,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": null, ""target_pct"": null, ""max_hold_days"": 1}"
